Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff
"Amanda Marsh
","Chanute, Kansas
","Event planner
",1,7,23.0,9.0
"Trista Rehn
","Miami, Florida
","Miami heat dancer
",1,6,30.0,2.0
"Shannon Oliver
","Dallas, Texas
","Financial management consultant
",1,5,24.0,8.0
"Kim
","Tempe, Arizona
","Nanny
",1,4,24.0,8.0
"Cathy Grimes
","Terra Haute, Indiana
","Graduate student
",1,3,23.0,9.0
"Christina Stencil
","Bonita, California
","Attorney
",1,3,28.0,4.0
"LaNease Adams
","Los Angeles, California
","Actress
",1,3,24.0,8.0
"Rhonda Rittenhouse
","Woodward, Oklahoma
","Commercial real estate agent
",1,3,28.0,4.0
"Alexa
","Beverly Hills, California
","Special educations teacher
",1,2,27.0,5.0
"Amy Anzel
","New York, New York
","Production coordinator
",1,2,28.0,4.0
"Angela
","Avondale, Arizona
","Hooters waitress
",1,2,25.0,7.0
"Angelique Madrid
","Burbank, California
","Actress
",1,2,27.0,5.0
"Katie
","Malden, Massachusetts
","Power tool sales representative
",1,2,23.0,9.0
"Melissa
","Tempe, Arizona
","Photographer
",1,2,25.0,7.0
"Tina Chen
","Plano, Texas
","Graduate student
",1,2,27.0,5.0
"Amber
","Los Angeles, California
","Business development director
",1,1,29.0,3.0
"Daniela
","Seattle, Washington
","Neuropsychologist
",1,1,30.0,2.0
"Denise
","Honolulu, Hawaii
","Doctor
",1,1,30.0,2.0
"Jackie
","Pittsburgh, Pennsylvania
","Bar manager
",1,1,22.0,10.0
"Jill
","Chicago, Illinois
","Retail manager
",1,1,31.0,1.0
"Kristina Jenkins
","Los Angeles, California
","Advertising executive
",1,1,27.0,5.0
"Lisa Gold
","Dallas, Texas
","Attorney
",1,1,29.0,3.0
"Paula
","Swansea, Massachusetts
","Insurance representative
",1,1,24.0,8.0
"Rachel
","Eastchester, New York
","6th grade teacher
",1,1,29.0,3.0
"Wendi Plotnik
","Dallas, Texas
","Technology specialist
",1,1,26.0,6.0
Tessa Horst,"San Francisco, California",Social worker,10,9,26.0,1.0
Bevin Powers,"Palo Alto, California",Assistant,10,8,29.0,4.0
Danielle Imwalle,"Bethel, Connecticut",Graphic designer,10,7,25.0,0.0
Amber Alchalabi,"Sugar Land, Texas",Teacher,10,6,23.0,2.0
Stephanie Wilhite,"Overland Park, Kansas",Project manager,10,5,23.0,2.0
Tina Wu,"Lenox Hill, New York",Medical student,10,5,26.0,1.0
Kate Brockhouse,"Ravenel, South Carolina",Boutique owner,10,4,24.0,1.0
Nicole Clary,"Charleston, South Carolina",Sales Manager,10,4,26.0,1.0
Stephanie Tipper,"Folly Beach, South Carolina",Organ donation coordinator,10,4,27.0,2.0
Amanda Hackney,"Dallas, Texas",Financial analysts,10,3,26.0,1.0
Erin Parker,"Logansport, Louisiana",Financial analyst,10,3,24.0,1.0
Peyton Wright,"La Vergne, Tennessee",Sorority recruiter,10,3,24.0,1.0
Alexis Young,"Southlake, Texas",Attorney,10,2,26.0,1.0
Susan Anderson,"The Woodlands, Texas",Boutique manager,10,2,23.0,2.0
Tiffany Warren,"Boston, Massachusetts",Medical equipment sales representative,10,2,28.0,3.0
Blakeney Rowe,"Birmingham, Alabama",Radio sales,10,1,29.0,4.0
Candace DeCost,"Hilton Head Island, South Carolina",Waitress,10,1,23.0,2.0
Catherine Warren,"Lake Forest, Illinois",Former Miss Illinois,10,1,23.0,2.0
